PO2 (kPa),SO2 (%)
0.7996,4.27
1.0664,8.85
1.3332,15.06
1.6,22.49
1.8668,30.56
2.1336,38.7
2.4004,46.46
2.6672,53.56
2.934,59.87
3.2008,65.36
3.4676,70.08
3.7344,74.1
4.0012,77.51
4.268,80.41
4.5348,82.86
4.8016,84.94
5.0684,86.71
5.3352,88.23
5.602,89.53
5.8688,90.65
6.1356,91.62
6.4024,92.46
6.6692,93.2
6.936,93.84
7.2028,94.4
7.4696,94.9
7.7364,95.34
8.0032,95.73
8.27,96.08
8.5368,96.39
8.8036,96.66
9.0704,96.92
9.3372,97.14
9.604,97.34
9.8708,97.53
10.1376,97.7
10.4044,97.85
10.6712,97.99
10.938,98.12
11.2048,98.23
11.4716,98.34
11.7384,98.44
12.0052,98.53
12.272,98.61
12.5388,98.69
12.8056,98.76
13.0724,98.83
13.3392,98.89
13.606,98.95
13.8728,99.0
14.1396,99.05
14.4064,99.1
14.6732,99.14
14.94,99.18
15.2068,99.22
15.4736,99.25
15.7404,99.29
16.0072,99.32
16.274,99.35
16.5408,99.38
16.8076,99.4
17.0744,99.43
17.3412,99.45
17.608,99.47
17.8748,99.49
18.1416,99.51
18.4084,99.53
18.6752,99.55
18.942,99.57
19.2088,99.58
19.4756,99.6
19.7424,99.61
20.0092,99.63
20.276,99.64
20.5428,99.65
20.8096,99.66
21.0764,99.67
21.3432,99.69
21.61,99.7
21.8768,99.71
22.1436,99.71
22.4104,99.72
22.6772,99.73
22.944,99.74
23.2108,99.75
23.4776,99.76
23.7444,99.76
24.0112,99.77
24.278,99.78
24.5448,99.78
24.8116,99.79
25.0784,99.8
25.3452,99.8
25.612,99.81
25.8788,99.81
26.1456,99.82
26.4124,99.82
26.4124,99.99
